week,new_signups,activated_users,activation_rate_pct,wau,mau,churned_users,search_adoption_pct,nps,support_tickets,mrr_usd
2026-W01,300,186,62,1700,3900,90,38,34,120,41000
2026-W02,318,200,63,1760,4010,88,39,35,118,43500
2026-W03,332,212,64,1820,4150,92,40,35,125,45800
2026-W04,345,224,65,1890,4300,95,41,36,130,48200
2026-W05,360,234,65,1965,4480,99,42,36,128,50900
2026-W06,372,245,66,2030,4650,101,43,37,134,53400
2026-W07,388,256,66,2100,4820,104,44,37,139,56100
2026-W08,401,269,67,2180,5000,108,45,38,142,58900
2026-W09,415,279,67,2255,5180,110,46,38,145,61700
2026-W10,430,288,67,2330,5360,115,47,39,150,64500
2026-W11,446,299,67,2410,5550,118,48,39,155,67400
2026-W12,460,308,67,2490,5740,121,48,40,158,70300
2026-W13,475,318,67,2570,5930,124,49,40,161,73200
2026-W14,488,268,55,2520,6010,175,47,35,240,74100
2026-W15,472,222,47,2400,5950,230,44,30,320,72800
2026-W16,455,205,45,2280,5820,255,41,27,360,70900
2026-W17,460,214,47,2230,5720,248,40,26,355,69800
2026-W18,470,235,50,2240,5680,220,41,28,300,69200
2026-W19,482,260,54,2310,5720,180,43,31,250,70400
2026-W20,498,294,59,2420,5860,150,45,34,200,72600
2026-W21,515,320,62,2540,6050,130,47,36,175,75300
2026-W22,532,341,64,2660,6260,120,48,38,160,78400
2026-W23,548,357,65,2780,6480,116,49,39,155,81600
2026-W24,565,372,66,2900,6710,113,50,40,150,84900
2026-W25,582,390,67,3025,6950,110,51,41,148,88300
2026-W26,600,405,68,3150,7200,108,52,41,145,91800
